"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 07 04:30:19 UTC 2026","Tue Apr 07 04:30:20 UTC 2026","1064","","org.example.tests.LoginTest","","org.example.tests.LoginTest","specialCharacterUsernamesAreRejectedGracefully","specialCharacterUsernamesAreRejectedGracefully(String) username='<script>alert(1)</script>'","Special-character usernames are rejected gracefully without crashing"
"passed","Tue Apr 07 04:30:51 UTC 2026","Tue Apr 07 04:30:53 UTC 2026","1338","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","cancelFromCheckoutStepOneReturnsToCart","cancelFromCheckoutStepOneReturnsToCart()","Cancel from checkout step one returns to cart"
"passed","Tue Apr 07 04:30:11 UTC 2026","Tue Apr 07 04:30:13 UTC 2026","1315","","org.example.tests.CartTest","","org.example.tests.CartTest","cartBadgeCountReflectsNumberOfAddedItems","cartBadgeCountReflectsNumberOfAddedItems()","Cart badge count reflects number of added items"
"passed","Tue Apr 07 04:31:12 UTC 2026","Tue Apr 07 04:31:13 UTC 2026","1076","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","nameSortOptionsProduceCorrectOrder","nameSortOptionsProduceCorrectOrder(String, boolean) sort='az' -> ascending=true","Name sort options produce correct alphabetical ordering"
"passed","Tue Apr 07 04:30:38 UTC 2026","Tue Apr 07 04:30:40 UTC 2026","1276","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","checkoutFormRequestsShippingInfo","checkoutFormRequestsShippingInfo()","Checkout form requests first name, last name, and postal code fields"
"passed","Tue Apr 07 04:30:55 UTC 2026","Tue Apr 07 04:30:56 UTC 2026","1088","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","priceSortOptionsProduceCorrectOrder","priceSortOptionsProduceCorrectOrder(String, boolean) sort='lohi' -> ascending=true","Price sort options produce correct numeric ordering"
"failed","Tue Apr 07 04:31:02 UTC 2026","Tue Apr 07 04:31:12 UTC 2026","9618","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","cartBadgeCountMatchesItemsAdded","cartBadgeCountMatchesItemsAdded(int) add 6 item(s) -> badge=6","Cart badge count matches items added (boundary: 1 and 6)"
"passed","Tue Apr 07 04:30:31 UTC 2026","Tue Apr 07 04:30:32 UTC 2026","1076","","org.example.tests.LoginTest","","org.example.tests.LoginTest","invalidCredentialCombinationsShowMismatchError","invalidCredentialCombinationsShowMismatchError(String, String, String) user='bad_user' pass='bad_pass' -> error contains 'Username and password do not match'","Invalid credential combinations show the mismatch error"
"passed","Tue Apr 07 04:30:27 UTC 2026","Tue Apr 07 04:30:29 UTC 2026","1079","","org.example.tests.LoginTest","","org.example.tests.LoginTest","whitespaceOnlyUsernameIsRejected","whitespaceOnlyUsernameIsRejected(String) username=' '","Whitespace-only username is rejected with an error"
"passed","Tue Apr 07 04:30:18 UTC 2026","Tue Apr 07 04:30:19 UTC 2026","1060","","org.example.tests.LoginTest","","org.example.tests.LoginTest","specialCharacterUsernamesAreRejectedGracefully","specialCharacterUsernamesAreRejectedGracefully(String) username='' OR '1'='1'","Special-character usernames are rejected gracefully without crashing"
